code,description
832,Restaurant - Unlicensed
154,Retailer - Mobile
117,Retailing
603,Riding School
807,Ring Sports
604,River Authority
605,Road Haulage
606,Road Repair
607,Road Surfacing
849,Robotics Manufacturer
608,Roller Shutter Manufacturer
609,Roofing Services
610,Rope Merchant
611,Roughcasters
935,Royal Air Force
975,Royal Mint
934,Royal Navy
850,RSPCA
612,Rubbish Disposal
613,Rubble Removers
614,Rustproofing Services
615,Saddlers And Harness Makers
616,Safe Installation And Removal
617,Safe Manufacturer
618,Safety Consultancy
619,Safety Equipment Supplier
620,Sail Makers And Repairers
621,Sailing Equipment Supplier
622,Salvage
891,Sample Distribution
623,Sample Distributors
624,Sand And Gravel Merchants
625,Sand Blasters
624,Sand And Gravel Merchants
626,Satellite TV And Equipment Suppliers
627,Satellite TV Installers
628,Saw Sales And Repairs
629,Sawmill
630,Scaffolding Erection
631,Scaffolding Hire
632,School
873,School For Performing Arts
851,Scientific Research
633,Scrap Disposal
634,Scrap Metal Merchants
633,Scrap Disposal
635,Screen Printing
636,Screenwriting
637,Sculptors
638,Secondhand Dealers
639,Secretarial Services
640,Secretarial Training
860,Security Equipment
120,Security Services
641,Seedsmen
642,Self Catering Accommodation
643,Self Drive Hire
942,Sewage
644,Sharpening Services
645,Sheet Metal Work
646,Sheriff Officers
647,Ship Building And Repair
648,Ship Chandlery
649,Ship Painting
650,Shipbroking
651,Shipping And Forwarding Agency
652,Shipping Company
122,Shipyard
653,Shoe Manufacturers
654,Shoe Repair
655,Shoe Shop
928,Shooting Rights
656,Shop Fitting
657,Shopping Centre
658,Shot Blasters
659,Shutter Manufacturer
660,Sightseeing Tours Operator
661,Sign Making
123,Signwriting
662,Site Clearance
663,Site Investigation
664,Skating Rink
665,Ski Centre
666,Skip Hire
827,Skip Maintenance
667,Slaughterhouse
892,Slimming Distribution
668,Snack Bar
669,Snooker Club
670,Social Club
124,Social Services
671,Soft Drinks Manufacturer
672,Soft Drinks Supplier
673,Soil Engineers
674,Solar Panel Manufacturer
675,Solar Panel Supplier
178,Solicitors
676,Sound Proofing
677,Spinners
125,Sports
974,Sports - Non Professional
126,Sports - Professional
678,Sports Centre
679,Sports Club
971,Sports Club - Professonal
680,Sports Goods Shop
681,Sports Ground
682,Sports Promotion
683,Sportswear Manufacturer
684,Sportswear Supplier
685,Stables
686,Stamp Dealers
687,Stamp Manufacturer
688,Stamp Supplier Stationers
957,State School
874,Stationers
127,Steel Industry
689,Steel Stockholders
690,Sterilizing Services
128,Stockbroking
691,Stonemasonry
692,Street Trading
479,Market Trading
693,Structural Engineering
694,Studio
929,Sunbed
179,Supermarket
695,Surveying
180,Surveyors
922,Suspended Ceiling Repairer
696,Swimming Pool
697,Tailor And Outfitter
698,Take Away Food Supplier
699,Tank Cleaning Services
700,Tarpaulin Manufacturer
701,Tarpaulin Suppliers
912,Tattoo Parlour/Clinic
702,Tax Consultancy
703,Taxi Service
704,Taxidermy
705,Tea Importer
706,Tea Merchant
707,Tea Room
708,Technical College
709,Telecommunication Equipment Suppliers
130,Telecommunications
710,Telemarketing
711,Telephone Answering Service
712,Telesales
166,Television
806,Television Hire
713,Television Production
714,Television Repairer
715,Television Sales
716,Tent And Marquee Hirer
837,Territorial Army
837,Territorial Army
717,Textile Manufacturer
718,Thatching
167,Theatre
719,Theatrical Suppliers
853,Theme Park
720,Tilers
721,Timber Importers
156,Timber Merchants
722,Timber Preservation
723,Timeshare Operators
724,Tobacco Importer
725,Tobacco Manufacturer
726,Tobacconist
727,Tomato Grower
728,Tool Hire
729,Tour Operator
730,Tourist Board
731,Tourist Information
732,Towel Supplier
733,Toy And Game Manufacturer
734,Toy And Game Supplier
159,Trade Association
187,Trade Demonstration
158,Trade Union
735,Trading Estate
736,Trading Standards Enforcement
737,Trailer Manufacturer
738,Trailer Supplier
946,Training Company
924,Training Consultancy
739,Translators
131,Transport - PSV
132,Transport - Road
145,Travel And Tourism
978,Tree Surgery
740,Trinity House
910,Trust Company
169,Tupperware
133,Turf Accountants
741,TV And Radio
852,TV And Video Rental
742,Typewriter Services
863,Tyre Dealer
864,Tyre Manufacturer
743,Tyre Supplier And Fitting
744,Undertaker
745,Underwater Inspection
746,Underwriting Agency
748,Uniform Manufacturer
749,University
747,None - Unemployed
750,Upholstery
751,Vacuum Cleaner Repairs And Service
752,Valuation
753,Van And Lorry Hirer
155,Vehicle Hire - Self Drive
754,Vehicle Repairer
981,Vehicle Transport
755,Vending Machine Manufacturer
756,Vending Machine Supplier
828,Vending Services
757,Veneering
758,Venetian Blind Manufacturer
759,Venetian Blind Supplier
760,Ventilation
761,Vermin Control
134,Veterinary
