code,description
68C,Stamp Dealer
69A,Commissioner of Police
69B,Juggler
69C,State Enrolled Nurse
70A,Companion
70B,Kiln Setter
70C,State Registered Nurse
71A,Companion Nurse
71B,Kilnman (Glass/Ceramics)
71C,Engineer Stoker
72A,Compiler
72B,Lexicographer
72C,Store Keeper
73A,Compliance Officer
73B,Lighting Director
73C,Stores Controller
74A,Data Processing Manager
74B,Linesman
74C,School Student
75A,Computer Editor
75B,Linotype Operator
75C,Hair Stylist
76A,Conductor
76B,Mail Order Worker
76C,Superintendent
77A,Advertising Controller
77B,Maitre D Hotel
77C,Support Worker
78A,Copier
78B,Managing Clerk
78C,Tape Librarian
79A,Design Copier
79B,Manufacturing Engineer
79C,Tape Operator
80A,Copy Typist
80B,Mechanical Designer
80C,Technologist
81A,Banking Correspondent
81B,Advertising Director
81C,Test Driver
82A,Correspondent Press
82B,Media Planner
82C,Test Engineer
83A,Press Correspondent
83B,Microscopist
83C,Theme Park Worker
84A,School Counsellor
84B,Minister Of The Crown
85A,Student Counseller
85B,Moderator
85C,Time and Motion Analyst
86A,Coxswain
86B,Fleet Manager
86C,Transmission Controller
87B,Train Motorman
87C,Transport Policeman
88A,Creative Director
88B,Foundry Moulder
88C,Travelling Salesman/Woman
89A,Cricketer
89B,Moulding Process Technician
89C,Trawler Hand
90A,Criminologist
90B,Rescue Worker
90C,Truck Driver
91A,Media Critic
91B,Music Producer
91C,TV Announcer
92A,Curate
92B,Musical Arranger
92C,Television Set Builder
93A,Curtain Hanger
93C,Typographer
94A,Customer Service Controller
94B,Naturalist
94C,University Reader
95B,Computer Network Controller
95C,Valet
96B,Newsreader
96C,Van Salesman
97A,Stock Exchange Dealer
97B,Nursemaid
97C,Vehicle Delivery Agent
98A,Church Dean
98B,Obstetrician
98C,Veterinary Nurse
99A,Dental Mechanic
99B,Operations Engineer
99C,Video Supplier
A01,Accountant
A03,Turf Accountant
A04,Accounts Staff
A06,Actuary
A07,Administration Staff
A08,Advertising Staff
A09,Air Traffic Controller
A10,Aircraft Cabin Crew
A12,Ambulance Crew
A13,Antique Dealer
A14,Archaeologist
A15,Architect
A16,Archivist
A17,Art Dealer
A18,Artist
A20,Assembly Worker
A21,Assessor
A22,Auctioneer
A23,Auditor
A24,Author
A25,Advertising Agent
A26,Au Pair
A34,Amusement Arcade Worker
A35,Textile Technician
A36,Theatre Technician
A37,Thermal Insulator
A38,Timber Inspector
A39,Timber Worker
A40,Tour Agent
A41,Town Clerk
A42,Track Worker
A43,Tractor Driver
A44,Tractor Mechanic
A45,Trade Mark Agent
A46,Traffic Clerk
A47,Traffic Engineer
A48,Traffic Officer
A49,Traffic Planner
A50,Traffic Supervisor
A51,Training Advisor
A52,Training Assistant
A53,Training Consultant
